Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
374,Robin Koch,de GER,DF,de Eint Frankfurt,29-169,1996,6,6,529,5.9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,9,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
375,Mateusz Kochalski,pl POL,GK,az Qaraba?,25-161,2000,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
376,Giorgi Kochorashvili,ge GEO,MF,pt Sporting CP,26-187,1999,1,1,60,0.7,0,1,1,0,0,0,1,0,0.1,0.1,0,0.1,0,5,3,0,1.5,1.5,0,1.5,0.11,0.05,0.16,0.11,0.16,Matches
377,Christian Kofane,cm CMR,FW,de Leverkusen,19-160,2006,6,4,316,3.5,1,1,2,1,0,0,1,0,1.2,1.2,0.2,1.5,4,3,10,0.28,0.28,0.57,0.28,0.57,0.35,0.07,0.42,0.35,0.42,Matches
378,Philipp Köhn,ch SUI,GK,fr Monaco,27-275,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Koke,es ESP,MF,es Atlético Madrid,33-359,1992,6,3,304,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,20,6,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
380,Sead Kolašinac,ba BIH,DF,it Atalanta,32-196,1993,2,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,Matches
381,Randal Kolo Muani,fr FRA,FW,eng Tottenham,27-028,1998,5,2,212,2.4,2,2,4,2,0,0,2,0,1.2,1.2,1.1,2.3,8,3,7,0.85,0.85,1.7,0.85,1.7,0.5,0.48,0.98,0.5,0.98,Matches
382,Don-Angelo Konadu,nl NED,FW,nl Ajax,19-244,2006,1,0,26,0.3,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.5,1,1,1,0,3.46,3.46,0,3.46,1.33,0.5,1.83,1.33,1.83,Matches
383,Ibrahima Konaté,fr FRA,DF,eng Liverpool,26-222,1999,6,6,509,5.7,1,0,1,1,0,0,0,0,0.6,0.6,0,0.6,5,19,0,0.18,0,0.18,0.18,0.18,0.11,0,0.11,0.11,0.11,Matches
384,Geoffrey Kondogbia,cf CTA,MF,fr Marseille,32-321,1993,2,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1,Matches
385,Teun Koopmeiners,nl NED,"DF,MF",it Juventus,27-308,1998,6,6,456,5.1,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,13,26,11,0,0,0,0,0,0.07,0.08,0.14,0.07,0.14,Matches
386,Odilon Kossounou,ci CIV,DF,it Atalanta,24-363,2001,6,6,466,5.2,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,5,17,5,0,0,0,0,0,0.11,0.01,0.11,0.11,0.11,Matches
387,Filip Kosti?,rs SRB,DF,it Juventus,33-062,1992,2,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,1,0,0,0,0,0,0.4,0,0.4,0.4,0.4,Matches
388,Dominik Kotarski,hr CRO,GK,dk FC Copenhagen,25-326,2000,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Jules Koundé,fr FRA,DF,es Barcelona,27-051,1998,6,6,524,5.8,2,1,3,2,0,0,1,0,0.9,0.9,0.7,1.6,11,32,26,0.34,0.17,0.52,0.34,0.52,0.15,0.12,0.27,0.15,0.27,Matches
390,Mateo Kova?i?,hr CRO,MF,eng Manchester City,31-241,1994,1,0,34,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,3,0,0,0,0,0,0,0.16,0.35,0.51,0.16,0.51,Matches
391,Matej Kovar,cz CZE,GK,nl PSV Eindhoven,25-230,2000,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
392,Rasmus Kristensen,dk DEN,"DF,MF",de Eint Frankfurt,28-175,1997,3,3,238,2.6,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.3,5,7,8,0.38,0,0.38,0.38,0.38,0.04,0.07,0.11,0.04,0.11,Matches
